Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Source,Accuracy,Drainage Name,HUC 8 Number,Year,Month,Day,Status,Comments,record_type,disposal,Museum_Cat_No,fresh_marine_intro,Reference 1,Type 1,Date 1,Author 1,Title 1,Publisher 1,Location 1,Reference 2,Type 2,Date 2,Author 2,Title 2,Publisher 2,Location 2,Reference 3,Type 3,Date 3,Author 3,Title 3,Publisher 3,Location 3,Reference 4,Type 4,Date 4,Author 4,Title 4,Publisher 4,Location 4,Reference 5,Type 5,Date 5,Author 5,Title 5,Publisher 5,Location 5,Reference 6,Type 6,Date 6,Author 6,Title 6,Publisher 6,Location 6
157496,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,AL,Mobile,"Spring Hill Lake [just W of Mobile, AL]",30.6417,-88.3833,GNIS,Accurate,Escatawpa,3170008,2003,12,12,established,,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253371,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,AL,Mobile,Langan Park Pond in Mobile,30.705829,-88.158202,Map derived,Accurate,Mobile-Tensaw,3160204,2008,6,11,established,"Copper sulfate applied October 2009, partially successful kill.",Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278743,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,AZ,Maricopa,"Salt River, lower portion above Granite Reef Dam [near Mesa]",33.51478,-111.68461,reported,Accurate,Lower Salt,15060106,2011,7,,established,42 live specimens collected in 1 hour. Egg masses present.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744958,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,"a sinkhole pond, Gainesville",29.65438,-82.36161,Map derived,Accurate,Oklawaha,3080102,2014,9,11,established,Many more were observed but not collected.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468855,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,"Hogtown Creek, at SW 2nd Ave. bridge E of SW 35th Terrace in Gainesville",29.65073,-82.37529,Map derived,Accurate,Oklawaha,3080102,2018,8,22,established,Egg masses only observed.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241830,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,Newnans Lake [E of Gainesville],29.6433017,-82.219267,GNIS,Accurate,Oklawaha,3080102,2007,11,,established,Many egg masses observed.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935191,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,"Newnans Lake, Mouth of Windsor boat ramp canal",29.63624,-82.20285,reported,Accurate,Oklawaha,3080102,2007,9,9,established,6-7 egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935215,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,"Newnans Lake, Windsor boat ramp canal",29.63695,-82.20113,reported,Accurate,Oklawaha,3080102,2008,5,6,established,"2 egg masses, 1 snail laying eggs",Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935257,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,"Newnans Lake, Windsor boat ramp",29.63687,-82.20014,reported,Accurate,Oklawaha,3080102,2009,6,7,established,15 egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935385,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,"Newnans Lake, southwest shore along Lakeshore Dr",29.63635,-82.23708,reported,Accurate,Oklawaha,3080102,2013,6,15,established,Very abundant,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935420,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,Payne's Prarie GRU Sheetflow Site,29.618,-82.325,reported,Accurate,Oklawaha,3080102,2014,9,12,established,Abundant masses and smails,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321044,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Bay,"Back Beach Rd (Hwy 98), in ditch adjacent to Hombre Golf Club",30.19368,-85.80431,reported,Accurate,St. Andrew-St. Joseph Bays,3140101,2016,6,29,established,egg masses found,NAS sighting report,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935337,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Bay,"Lullwater Lake, unspecified location",30.22172,-85.88198,reported,Accurate,St. Andrew-St. Joseph Bays,3140101,2011,4,19,established,Numerous,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877649,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Bay,retention pond just NW of Panama City Beach Pkwy and Richard Jackson Blvd [btw Home Depot and TGI Fridays],30.19874,-85.81402,Map derived,Accurate,St. Andrew-St. Joseph Bays,3140101,2015,8,17,established,"EDDMapS Record ID = <a href=""http://www.eddmaps.org/distribution/point.cfm?id=4258302"" target=""_blank"">4258302</a>",Literature,,,Freshwater,24369,Database,2018,Center for Invasive Species and Ecosystem Health.,EDDMapS: Early detection and distribution mapping system,The University of Georgia,"Tifton, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935248,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Bradford,"Santa Fe Lake, Canal behind SE 5th Ave",29.72862,-82.0511,reported,Accurate,Santa Fe,3110206,2009,1,15,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935341,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Brevard,"C-10 Lateral Canal at Malabar Rd, Palm Bay",27.99903,-80.71284,reported,Accurate,Upper St. Johns,3080101,2011,5,16,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935023,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Brevard,"Eau Gallie River, Vicinity of Fillmore Avenue",28.12793,-80.64898,reported,Accurate,Cape Canaveral,3080202,2005,8,24,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934906,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Brevard,"C-54 Canal, Small canal flowing into C-54 in St. Sebastian River Preserve State Park",27.82507,-80.5766,reported,Accurate,Vero Beach,3080203,2005,2,22,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935418,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Brevard,"Stick Marsh, vicinity of the boat ramp",27.82325,-80.70858,reported,Accurate,Upper St. Johns,3080101,2014,7,15,established,Multiple,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935369,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Brevard,"Three Forks Conservation Area, just north of the intersection of the weir and C-40 Canal",27.97381,-80.76997,reported,Accurate,Upper St. Johns,3080101,2012,12,21,established,1 egg mass,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935370,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Brevard,"Canal, north border of Helen and Allan Cruickshank Sanctuary at railrload tracks appx 200 m S of Gus Hipp Blvd",28.30275,-80.70472,reported,Accurate,Cape Canaveral,3080202,2013,2,19,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935366,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Canal, Everglades and Francis S. Taylor Wildlife Management Area I-75 recreational area 4.08 km W of C-123",26.1469,-80.6778,reported,Accurate,Everglades,3090202,2012,9,16,established,A few egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935367,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area E of C-123 vicinity of S3349",26.2166,-80.6896,reported,Accurate,Everglades,3090202,2012,9,19,established,A few egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935373,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,C-11 Canal at the S13AW structure,26.06444,-80.2815,reported,Accurate,Florida Southeast Coast,3090206,2013,4,1,established,Numerous egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935374,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Coral Springs, lake in Windham Lakes just east of Sawgrass Expressway",26.29059,-80.29416,reported,Accurate,Florida Southeast Coast,3090206,2013,4,1,established,Several,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935380,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Tree Tops Regional Park, vicinity of the marsh boardwalk",26.07279,-80.27837,reported,Accurate,Florida Southeast Coast,3090206,2013,5,16,established,,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935355,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Canal, Coral Springs 175 m N or Royal Palm Blvd",26.26074,-80.27784,reported,Accurate,Florida Southeast Coast,3090206,2012,5,13,established,2 egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935357,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Canal, Everglades and Francis S. Taylor Wildlife Management Area I-75 boat ramp MM 41 south side",26.1488,-80.7193,reported,Accurate,Everglades,3090202,2012,5,18,established,A few egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935402,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area 1.19 km SW of S339",26.21282,-80.70113,reported,Accurate,Everglades,3090202,2013,8,8,established,1 egg mass,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935404,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Everglades and Francis S. Taylor WMA, vicinity of tree island #696",26.3109,-80.7121,reported,Accurate,Everglades,3090202,2013,10,4,established,,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935408,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"C-11 South New River Canal, between Florida Turnpike and S University Dr",26.0654,-80.23212,reported,Accurate,Florida Southeast Coast,3090206,2014,4,6,established,Numerous,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935410,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area 9.24 km NW of S339",26.27567,-80.75494,reported,Accurate,Everglades,3090202,2014,4,17,established,,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935391,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area W of C-123 vicinity of S339",26.21624,-80.69067,reported,Accurate,Everglades,3090202,2013,7,23,established,ca. 20 egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935392,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area 3.72 km SW of S339",26.19397,-80.71763,reported,Accurate,Everglades,3090202,2013,7,23,established,A few egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935393,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area 6.24 km NW of S339",26.25814,-80.73183,reported,Accurate,Everglades,3090202,2013,7,23,established,1 egg mass,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935394,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area 6.57 km NW of S339",26.26138,-80.73261,reported,Accurate,Everglades,3090202,2013,7,23,established,1 egg mass,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935396,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Pond, Coconut Creek 60 West Hillsboro Blvd",26.31656,-80.19911,reported,Accurate,Florida Southeast Coast,3090206,2013,7,26,established,"4 snails, empty shells ca 2 egg mases",Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935397,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area airboat trail 405 n S of I-75 boat ramp MM 41 south side",26.14516,-80.71892,reported,Accurate,Everglades,3090202,2013,7,26,established,Numerous,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935398,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area 6.14 km NW of S339",26.25742,-80.7311,reported,Accurate,Everglades,3090202,2013,7,30,established,1 egg mass,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935399,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area 9.60 km NW of S339",26.27913,-80.75606,reported,Accurate,Everglades,3090202,2013,7,30,established,A few egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935400,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area 1.24 km SW of S339",26.2128,-80.70166,reported,Accurate,Everglades,3090202,2013,7,30,established,1 egg mass,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256628,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,South New River Canal along Orange Dr between SW 68 Ave and SW 42nd Ct,26.06549,-80.23926,reported,Accurate,Florida Southeast Coast,3090206,2016,1,25,established,"EDDMapS Record ID = <a href=""http://www.eddmaps.org/review/point.cfm?id=4494006> target=""_blank"">4494006</a>",Literature,,,Freshwater,24369,Database,2018,Center for Invasive Species and Ecosystem Health.,EDDMapS: Early detection and distribution mapping system,The University of Georgia,"Tifton, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447444,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,Water Conservation Area 3A,26.0702,-80.6771,reported,Accurate,Everglades,3090202,2017,,,established,,Literature,,,Freshwater,30025,Journal Article,2017,"Davidson, A.T., and N.J. Dorn.",Life history traits determine the differential vulnerability of native and invasive apple snails (<em>Pomacea </em>spp.) to a shared juvenile-stage predator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879851,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,Everglades Wildlife Management Area just adjacent to L-23 (Miami Canal) North of Alligator Alley,26.2395,-80.7167,reported,Accurate,Everglades,3090202,2015,9,30,established,"EDDMapS Record ID = <a href=""http://www.eddmaps.org/distribution/point.cfm?id=4425165"" target=""_blank"">4425165</a>.",Literature,,,Freshwater,24369,Database,2018,Center for Invasive Species and Ecosystem Health.,EDDMapS: Early detection and distribution mapping system,The University of Georgia,"Tifton, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879853,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Everglades Wildlife Management Area West of L-23 (Miami Canal) and North of Alligator Alley, East of Micosukee Indian Reservation",26.22498,-80.73467,reported,Accurate,Everglades,3090202,2015,6,19,established,"EDDMapS Record ID = <a href=""http://www.eddmaps.org/distribution/point.cfm?id=4425166"" target=""_blank"">4425166</a>.",Literature,,,Freshwater,24369,Database,2018,Center for Invasive Species and Ecosystem Health.,EDDMapS: Early detection and distribution mapping system,The University of Georgia,"Tifton, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849961,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Everglades, along Everglades Parkway E of the Miccosukee Reservation",26.1505,-80.68039,reported,Accurate,Everglades,3090202,2015,4,24,established,,Literature,,,Freshwater,24369,Database,2018,Center for Invasive Species and Ecosystem Health.,EDDMapS: Early detection and distribution mapping system,The University of Georgia,"Tifton, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935071,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Hillsboro Canal, Park near corner of NW 7th Pl & NW 41st Terrace",26.32768,-80.161,reported,Accurate,Florida Southeast Coast,3090206,2005,10,14,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935154,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Stormwater Treatment Area 6, Near structure G-607",26.33179,-80.87972,reported,Accurate,Everglades,3090202,2006,8,9,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935326,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area 3.78 km S of L-4",26.2977,-80.7935,reported,Accurate,Everglades,3090202,2010,9,30,established,A few egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935312,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area 252 m S of L-4",26.32955,-80.78485,reported,Accurate,Everglades,3090202,2010,5,25,established,Numerous,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935320,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Wetland, Everglades and Francis S. Taylor Wildlife Management Area 1.11 km S of L-4",26.3217,-80.7989,reported,Accurate,Everglades,3090202,2010,8,12,established,Numerous,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935291,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Broward,"Water Conservation Area 3A, Tree island appx 1.1 km S of L-4",26.32157,-80.7987,reported,Accurate,Everglades,3090202,2009,7,24,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
